,average,sd,score
val2017/000000338325.jpg,199.095,53.111,0.0003485315486024404
val2017/000000131386.jpg,190.596,69.706,0.0004104854822582077
val2017/000000163951.jpg,222.404,56.58,0.0019483213055060955
val2017/000000189828.jpg,201.546,55.744,0.002561238391180845
val2017/000000076261.jpg,192.39,21.52,0.010930116557227235
val2017/000000553094.jpg,204.17,33.836,0.024089496746427127
val2017/000000234757.jpg,208.895,61.314,0.06817147989408391
val2017/000000311950.jpg,193.399,58.313,0.19853580049957248
val2017/000000001761.jpg,200.262,62.822,0.2285393231811878
val2017/000000255483.jpg,194.971,61.33,0.34343745492735445
val2017/000000392481.jpg,207.082,24.572,0.3869754629746208
val2017/000000345027.jpg,204.557,47.59,0.41462049036632276
val2017/000000048555.jpg,202.72,51.78,0.4407849119661238
val2017/000000144114.jpg,224.357,44.96,0.5582752369991633
val2017/000000196442.jpg,209.587,33.653,0.6640992355561466
val2017/000000222118.jpg,199.456,56.476,0.7084849400497668
val2017/000000080153.jpg,204.584,61.319,0.7116957079990933
val2017/000000051610.jpg,225.129,63.477,0.7140385876542088
val2017/000000080671.jpg,194.706,70.201,0.7456026297085714
val2017/000000451043.jpg,205.001,41.812,0.7815877464102226
val2017/000000435206.jpg,237.171,38.117,0.7846513355108584
val2017/000000074860.jpg,212.869,23.767,0.7920215532526393
val2017/000000350405.jpg,197.382,56.216,0.8050580338565405
val2017/000000343937.jpg,193.096,43.621,0.8117295358151985
val2017/000000442463.jpg,197.214,73.655,0.8167264540270464
val2017/000000563349.jpg,202.553,43.818,0.8179437036807359
val2017/000000384666.jpg,197.51,41.628,0.8235113271012222
val2017/000000426376.jpg,201.453,23.873,0.8299257314842287
val2017/000000492968.jpg,227.935,59.077,0.8386673851982486
val2017/000000131556.jpg,193.935,82.119,0.8408283520707183
val2017/000000193429.jpg,195.314,59.97,0.844199494004057
val2017/000000289229.jpg,225.947,37.754,0.8499834001417902
val2017/000000161799.jpg,197.029,60.434,0.8513441235893408
val2017/000000342397.jpg,194.513,49.922,0.8649448264478268
val2017/000000314709.jpg,196.125,42.683,0.8720057916099017
val2017/000000080273.jpg,196.227,58.624,0.8736507343059594
val2017/000000090956.jpg,193.994,27.2,0.8749674233915785
val2017/000000509014.jpg,212.03,57.411,0.8777592846862243
val2017/000000164885.jpg,203.296,43.962,0.880730168333984
val2017/000000476215.jpg,211.327,58.855,0.882579482124946
val2017/000000473121.jpg,195.143,55.38,0.8857729398860064
val2017/000000099242.jpg,218.173,31.232,0.8988960822373679
val2017/000000000785.jpg,196.193,55.624,0.8990022801233977
val2017/000000520910.jpg,212.332,44.584,0.9139460120186313
val2017/000000352760.jpg,205.269,51.75,0.9219415908380062
val2017/000000406417.jpg,200.241,65.174,0.9222927943368664
