image_id,bbox,width,height,size
139,"[384.43, 172.21, 15.12, 35.74]",15.12,35.74,540.3888
139,"[412.8, 157.61, 53.05, 138.01]",53.05,138.01,7321.4304999999995
785,"[280.79, 44.73, 218.7, 346.68]",218.7,346.68,75818.916
872,"[145.26, 100.67, 291.95, 457.35]",291.95,457.35,133523.3325
872,"[163.73, 126.42, 265.69, 480.4]",265.69,480.4,127637.476
885,"[434.7, 0.33, 32.79, 12.67]",32.79,12.67,415.4493
885,"[595.68, 25.78, 43.37, 227.48]",43.37,227.48,9865.807599999998
885,"[277.31, 189.99, 140.09, 208.22]",140.09,208.22,29169.539800000002
885,"[541.88, 1.73, 65.84, 10.12]",65.84,10.12,666.3008
885,"[287.39, 0.19, 44.65, 11.46]",44.65,11.46,511.689
885,"[499.47, 0.76, 75.17, 13.38]",75.17,13.38,1005.7746000000001
885,"[281.02, 89.81, 111.83, 169.55]",111.83,169.55,18960.7765
885,"[1.11, 0.56, 58.94, 8.89]",58.94,8.89,523.9766
1000,"[410.75, 107.03, 88.09, 121.16]",88.09,121.16,10672.9844
1000,"[349.49, 118.71, 52.64, 41.13]",52.64,41.13,2165.0832
1000,"[405.93, 120.42, 37.13, 45.52]",37.13,45.52,1690.1576000000002
1000,"[330.07, 154.25, 83.05, 313.88]",83.05,313.88,26067.734
1000,"[265.33, 95.86, 88.92, 315.88]",88.92,315.88,28088.0496
1000,"[52.14, 185.12, 59.26, 212.53]",59.26,212.53,12594.5278
1000,"[504.67, 191.95, 135.33, 288.05]",135.33,288.05,38981.806500000006
1000,"[183.4, 121.34, 95.77, 272.75]",95.77,272.75,26121.267499999998
1000,"[115.16, 152.13, 83.23, 228.41]",83.23,228.41,19010.564300000002
1000,"[209.23, 174.64, 99.63, 249.08]",99.63,249.08,24815.8404
1000,"[380.85, 159.91, 88.44, 319.25]",88.44,319.25,28234.469999999998
1000,"[410.2, 208.53, 114.9, 271.47]",114.9,271.47,31191.903000000006
1268,"[0, 209.18, 24.95, 80.6]",24.95,80.6,2010.9699999999998
1268,"[402.34, 205.02, 65.26, 88.45]",65.26,88.45,5772.247
1268,"[501.68, 77.66, 138.32, 343.71]",138.32,343.71,47541.96719999999
1268,"[23.27, 213.41, 53.53, 69.47]",53.53,69.47,3718.7291
1296,"[262.64, 25.32, 146.96, 213.33]",146.96,213.33,31350.976800000004
1296,"[7.16, 1.57, 419.84, 634.27]",419.84,634.27,266291.91679999995
1353,"[62.11, 213.83, 116.69, 142.88]",116.69,142.88,16672.6672
1353,"[133.97, 180.55, 76.06, 72.71]",76.06,72.71,5530.3225999999995
1353,"[138.58, 198.11, 128.05, 184.54]",128.05,184.54,23630.347
1353,"[148.91, 136.52, 75.5, 52.59]",75.5,52.59,3970.545
1353,"[214.61, 154.48, 66.51, 129.11]",66.51,129.11,8587.1061
1353,"[188.63, 182.78, 32.01, 62.73]",32.01,62.73,2007.9872999999998
1490,"[448.87, 118.36, 50.9, 122.83]",50.9,122.83,6252.047
1584,"[113.58, 391.79, 13, 38.63]",13.0,38.63,502.19000000000005
1584,"[212.3, 168.78, 18.46, 20.54]",18.46,20.54,379.1684
1584,"[297.18, 160.75, 25.33, 20.87]",25.33,20.87,528.6371
1584,"[435.63, 338.17, 16.22, 24.83]",16.22,24.83,402.7425999999999
1584,"[298.91, 334.71, 34.86, 33.46]",34.86,33.46,1166.4156
1584,"[91.2, 388.59, 13.24, 34.51]",13.24,34.51,456.9124
1584,"[78.08, 377.61, 19.13, 52.71]",19.13,52.71,1008.3422999999999
1584,"[174.41, 170.29, 29.35, 22.95]",29.35,22.95,673.5825
1584,"[121.36, 389.73, 6.97, 21.17]",6.97,21.17,147.5549
1584,"[101.88, 397.58, 13.24, 32.26]",13.24,32.26,427.12239999999997
1584,"[190.33, 304.78, 59.38, 65.71]",59.38,65.71,3901.8597999999997
1761,"[15.58, 614.97, 6.23, 12.85]",6.23,12.85,80.05550000000001
1761,"[21.28, 617.1, 7.33, 10.64]",7.33,10.64,77.9912
1761,"[11.61, 615.96, 4.84, 11.55]",4.84,11.55,55.902
1761,"[36.24, 625.74, 4.8, 7.24]",4.8,7.24,34.752
1761,"[4.28, 616.35, 7.22, 9.79]",7.22,9.79,70.68379999999999
2006,"[5.23, 252.99, 45.73, 108.46]",45.73,108.46,4959.8758
2006,"[9.34, 51.89, 24.14, 24.13]",24.14,24.13,582.4982
2006,"[313.11, 189.53, 64.8, 67.14]",64.8,67.14,4350.672
2153,"[275.4, 302.2, 103.79, 134.55]",103.79,134.55,13964.944500000001
2153,"[283.4, 274.77, 182.91, 170.27]",182.91,170.27,31144.0857
2153,"[371.62, 207.81, 62.3, 197.28]",62.3,197.28,12290.544
2153,"[174.64, 0, 64.68, 119.95]",64.68,119.95,7758.366000000001
2261,"[283.65, 152.28, 98.34, 119.45]",98.34,119.45,11746.713000000002
2299,"[387.02, 193.51, 62.58, 98.63]",62.58,98.63,6172.265399999999
2299,"[60, 32.96, 53.21, 106.88]",53.21,106.88,5687.0848
2299,"[394.3, 127.59, 40.72, 92.29]",40.72,92.29,3758.0488
2299,"[99.93, 80, 46.67, 74.28]",46.67,74.28,3466.6476000000002
2299,"[204.27, 187.31, 65.83, 101.12]",65.83,101.12,6656.729600000001
2299,"[139.9, 190.55, 72.04, 107.81]",72.04,107.81,7766.6324
2299,"[70.18, 189.51, 64.2, 112.04]",64.2,112.04,7192.968000000001
2299,"[257.68, 192.06, 72.41, 95.16]",72.41,95.16,6890.535599999999
2299,"[284.3, 118.18, 41.34, 109.28]",41.34,109.28,4517.635200000001
2299,"[0, 18, 499, 263]",499.0,263.0,131237.0
2299,"[331.91, 131.75, 66.35, 117.15]",66.35,117.15,7772.9025
2299,"[431.19, 134.39, 42.6, 141.41]",42.6,141.41,6024.066
2299,"[327.79, 190.02, 63.11, 95.01]",63.11,95.01,5996.0811
2299,"[322.94, 129.11, 38.51, 72.29]",38.51,72.29,2783.8879
2431,"[102.61, 0, 102.16, 120.68]",102.16,120.68,12328.6688
2431,"[0, 0, 80.53, 135.9]",80.53,135.9,10944.027
2473,"[436.85, 280.58, 61.6, 99.86]",61.6,99.86,6151.376
2473,"[32.39, 328.76, 25.77, 26.41]",25.77,26.41,680.5857
2473,"[119.06, 341.19, 23.97, 44.09]",23.97,44.09,1056.8373000000001
2473,"[243.73, 93.08, 130.49, 150.65]",130.49,150.65,19658.3185
2532,"[182.96, 305.48, 101.51, 168.46]",101.51,168.46,17100.374600000003
2685,"[161.61, 132.67, 354.75, 414.86]",354.75,414.86,147171.585
2685,"[281.39, 98.88, 173.49, 245.17]",173.49,245.17,42534.5433
2685,"[401.6, 7.48, 205.78, 336.74]",205.78,336.74,69294.3572
2685,"[315.54, 56.12, 323.02, 384.14]",323.02,384.14,124084.90279999998
2685,"[183.72, 122.37, 133.08, 68.12]",133.08,68.12,9065.4096
2685,"[25.61, 218.59, 187.38, 331.36]",187.38,331.36,62090.2368
3156,"[4.32, 15.86, 361.81, 619.82]",361.81,619.82,224257.07420000003
3255,"[271.23, 313.63, 18.02, 45.07]",18.02,45.07,812.1614
3255,"[261.41, 311.89, 11.7, 44.82]",11.7,44.82,524.394
3255,"[246.04, 319.95, 11.43, 37.4]",11.43,37.4,427.48199999999997
3255,"[295.91, 313.66, 21.77, 38.97]",21.77,38.97,848.3769
3255,"[242.63, 315.44, 8.04, 41.6]",8.04,41.6,334.464
3255,"[235.17, 317.55, 9.51, 38.25]",9.51,38.25,363.7575
3553,"[153.26, 0.72, 266.99, 307.48]",266.99,307.48,82094.0852
3934,"[202.61, 106.19, 30.77, 126.73]",30.77,126.73,3899.4821
3934,"[61.66, 149.1, 146.86, 317.27]",146.86,317.27,46594.2722
3934,"[295.99, 132.3, 29.58, 74.76]",29.58,74.76,2211.4008
3934,"[93.95, 89.72, 61.98, 78.51]",61.98,78.51,4866.0498
3934,"[259.46, 142.44, 19.06, 20.77]",19.06,20.77,395.8762
3934,"[152.27, 82.79, 52.52, 142.95]",52.52,142.95,7507.7339999999995
3934,"[31.26, 74.89, 71.41, 243.12]",71.41,243.12,17361.1992
4134,"[516.28, 142.08, 21.16, 38.87]",21.16,38.87,822.4892
4134,"[258.35, 165.18, 17.55, 37.97]",17.55,37.97,666.3735
4134,"[0, 110.49, 70.67, 159.5]",70.67,159.5,11271.865
4134,"[576.43, 106.5, 60.24, 209.64]",60.24,209.64,12628.7136
4134,"[42.98, 44.95, 277.92, 374.38]",277.92,374.38,104047.6896
4134,"[237.06, 129.38, 29.35, 77.07]",29.35,77.07,2262.0045
4134,"[257.78, 186.07, 52.93, 83.74]",52.93,83.74,4432.3582
4134,"[346.56, 136.92, 35.66, 63.5]",35.66,63.5,2264.41
4134,"[190.53, 118.99, 40.5, 136.1]",40.5,136.1,5512.05
4134,"[551.31, 149.57, 88.69, 275.43]",88.69,275.43,24427.8867
4134,"[303.16, 123.28, 30.7, 146.78]",30.7,146.78,4506.146
4134,"[469.45, 109.7, 58.2, 71.09]",58.2,71.09,4137.438
4134,"[236.85, 45.84, 347.64, 374.38]",347.64,374.38,130149.4632
4395,"[1.44, 1.44, 423.56, 637.12]",423.56,637.12,269858.54720000003
4765,"[212.09, 126.8, 191.45, 258.59]",191.45,258.59,49507.055499999995
5001,"[119.23, 81.44, 69.26, 188.17]",69.26,188.17,13032.6542
