,average,sd,score
val2017/000000477805.jpg,3.173,15.514,0.627
val2017/000000155051.jpg,9.348,25.036,0.001
val2017/000000200152.jpg,19.952,41.803,0.001
val2017/000000110999.jpg,25.04,29.62,0.118
val2017/000000258388.jpg,23.644,32.545,0.864
val2017/000000232684.jpg,23.021,65.35,0.616
val2017/000000255749.jpg,23.083,42.693,0.842
val2017/000000187236.jpg,25.222,24.633,0.67
val2017/000000035062.jpg,25.518,38.208,0.366
val2017/000000185473.jpg,31.798,44.546,0.726
val2017/000000545219.jpg,27.164,32.382,0.845
val2017/000000167122.jpg,31.148,31.664,0.005
val2017/000000018770.jpg,31.148,37.618,0.539
val2017/000000178982.jpg,32.198,38.638,0.669
val2017/000000079837.jpg,31.11,18.233,0.199
val2017/000000284743.jpg,32.668,59.578,0.736
val2017/000000147729.jpg,33.145,35.922,0.653
val2017/000000243034.jpg,36.535,44.503,0.366
val2017/000000157756.jpg,36.481,44.419,0.765
val2017/000000391375.jpg,36.055,29.886,0.871
val2017/000000375493.jpg,38.43,44.786,0.855
val2017/000000430871.jpg,36.833,24.111,0.001
val2017/000000026690.jpg,39.803,49.556,0.815
val2017/000000085329.jpg,36.952,66.526,0.787
val2017/000000451155.jpg,37.208,63.083,0.591
val2017/000000253386.jpg,38.792,37.472,0.447
val2017/000000039405.jpg,40.596,27.157,0.858
val2017/000000308394.jpg,39.215,40.637,0.795
val2017/000000170545.jpg,38.626,42.317,0.014
val2017/000000015335.jpg,37.1,47.955,0.746
val2017/000000179141.jpg,41.418,52.756,0.731
val2017/000000084650.jpg,39.086,31.327,0.001
val2017/000000476491.jpg,37.02,47.586,0.534
val2017/000000199681.jpg,40.329,45.898,0.015
val2017/000000205105.jpg,40.213,35.944,0.902
val2017/000000117719.jpg,42.263,53.52,0.573
val2017/000000108026.jpg,41.376,50.561,0.503
val2017/000000360137.jpg,36.74,41.474,0.374
val2017/000000025393.jpg,40.868,42.12,0.943
val2017/000000257865.jpg,40.718,56.878,0.735
val2017/000000180135.jpg,43.022,72.673,0.768
val2017/000000008762.jpg,40.103,35.078,0.115
val2017/000000339870.jpg,41.475,36.034,0.031
val2017/000000306136.jpg,43.449,50.71,0.576
val2017/000000389109.jpg,43.056,41.294,0.658
val2017/000000546626.jpg,41.973,53.604,0.0
val2017/000000416330.jpg,39.019,40.421,0.0
val2017/000000224119.jpg,38.65,51.301,0.702
val2017/000000391648.jpg,44.024,48.627,0.002
val2017/000000153343.jpg,44.41,45.753,0.015
val2017/000000396518.jpg,47.072,50.379,0.636
val2017/000000379476.jpg,44.347,46.177,0.007
val2017/000000145665.jpg,46.169,34.716,0.668
val2017/000000400367.jpg,47.272,45.916,0.0
val2017/000000262895.jpg,44.068,44.95,0.674
val2017/000000554156.jpg,46.139,41.997,0.763
val2017/000000067315.jpg,45.627,52.112,0.373
val2017/000000269632.jpg,44.751,41.231,0.692
val2017/000000568584.jpg,42.95,62.172,0.296
val2017/000000032038.jpg,48.954,64.112,0.448
val2017/000000021604.jpg,43.774,39.526,0.858
val2017/000000092053.jpg,48.105,40.761,0.248
val2017/000000187249.jpg,44.662,51.974,0.609
val2017/000000406129.jpg,45.156,45.772,0.915
val2017/000000190648.jpg,47.408,41.331,0.229
val2017/000000527616.jpg,44.342,31.494,0.823
val2017/000000318138.jpg,44.134,48.227,0.805
val2017/000000232563.jpg,45.606,60.371,0.668
val2017/000000227482.jpg,47.275,52.867,0.875
val2017/000000155451.jpg,49.282,42.108,0.214
val2017/000000047828.jpg,44.126,43.819,0.787
val2017/000000104803.jpg,46.606,54.04,0.005
val2017/000000213593.jpg,46.525,27.903,0.601
val2017/000000023899.jpg,45.674,50.767,0.686
val2017/000000389804.jpg,47.473,57.757,0.003
val2017/000000291619.jpg,48.499,50.042,0.876
val2017/000000365642.jpg,47.283,27.924,0.876
val2017/000000442480.jpg,49.101,47.423,0.581
val2017/000000410712.jpg,51.492,60.344,0.749
val2017/000000162092.jpg,48.961,60.351,0.77
val2017/000000256941.jpg,49.047,44.412,0.099
val2017/000000433980.jpg,58.512,45.162,0.724
val2017/000000507081.jpg,48.78,78.85,0.014
val2017/000000441553.jpg,49.488,48.904,0.822
val2017/000000209530.jpg,50.617,39.979,0.735
val2017/000000411953.jpg,47.116,45.057,0.717
val2017/000000515077.jpg,49.56,33.109,0.558
val2017/000000192964.jpg,49.338,54.345,0.781
val2017/000000369037.jpg,50.181,41.962,0.852
val2017/000000216636.jpg,51.941,45.629,0.06
