image_id_x,bbox_id,center_x,scale_x,score_y
139,0,"[438.82501220703125, 226.11500549316406]","[0.6422343850135803, 0.8563125133514404]",0.7633566681076499
785,0,"[389.6400146484375, 217.57000732421875]","[1.6203750371932983, 2.1605000495910645]",0.9020152162103092
872,0,"[290.7349853515625, 328.8450012207031]","[2.1391406059265137, 2.852187395095825]",0.6644422289203195
885,2,"[616.864990234375, 139.02000427246094]","[1.0616250038146973, 1.4155000448226929]",0.8057712570709341
885,0,"[346.8550109863281, 293.6000061035156]","[0.9713437557220459, 1.2951250076293945]",0.8430573870153988
885,1,"[336.43499755859375, 174.0850067138672]","[0.7900781035423279, 1.0534374713897705]",0.8865724135847652
1000,8,"[454.2950134277344, 167.11000061035156]","[0.5632500052452087, 0.7509999871253967]",0.6616701050238176
1000,1,"[423.9949951171875, 142.67999267578125]","[0.22581249475479126, 0.3010833263397217]",0.6891660571098328
1000,11,"[375.30999755859375, 138.77499389648438]","[0.3227499723434448, 0.43033331632614136]",0.7359969679798398
1000,6,"[424.57000732421875, 319.0350036621094]","[1.491796851158142, 1.9890624284744263]",0.7768125534057617
1000,9,"[230.78500366210938, 257.2149963378906]","[1.273828148841858, 1.6984374523162842]",0.7864211727591122
1000,5,"[467.1499938964844, 343.7650146484375]","[1.2678282260894775, 1.6904375553131104]",0.816131732043098
1000,4,"[571.8350219726562, 335.4750061035156]","[1.345546841621399, 1.794062614440918]",0.8513854146003723
1000,3,"[258.5450134277344, 298.67999267578125]","[1.1628749370574951, 1.5504999160766602]",0.8851262821870691
1000,10,"[81.2699966430664, 290.885009765625]","[0.9915468692779541, 1.3220624923706055]",0.8914012242765987
1000,2,"[309.2900085449219, 253.3000030517578]","[1.4759999513626099, 1.9679999351501465]",0.8949856302317452
1000,7,"[371.0950012207031, 310.69000244140625]","[1.4666249752044678, 1.9554998874664307]",0.9133934273439295
1000,0,"[156.27499389648438, 265.8349914550781]","[1.0659843683242798, 1.4213125705718994]",0.9236269908792832
1268,2,"[434.4700012207031, 248.7449951171875]","[0.40992188453674316, 0.5465624928474426]",0.6687442681619099
1268,3,"[11.975000381469727, 248.97999572753906]","[0.37312501668930054, 0.4975000023841858]",0.6933183986693621
1268,1,"[570.3400268554688, 249.01499938964844]","[1.6064530611038208, 2.141937494277954]",0.7133139483630657
1268,0,"[49.53499984741211, 247.64500427246094]","[0.3283125162124634, 0.437749981880188]",0.7389187117417654
1296,1,"[335.6199951171875, 131.48500061035156]","[0.9952968955039978, 1.3270626068115234]",0.3173060417175293
1296,0,"[216.5800018310547, 318.2049865722656]","[2.9684531688690186, 3.957937240600586]",0.7972777715096107
1353,2,"[202.10499572753906, 289.8800048828125]","[0.8603436946868896, 1.147125005722046]",0.46238966150717303
1353,0,"[247.36500549316406, 218.53500366210938]","[0.6005156636238098, 0.8006875514984131]",0.5595901645720005
1353,1,"[186.16000366210938, 162.31500244140625]","[0.46562498807907104, 0.6208333373069763]",0.6001195877790451
1353,4,"[171.5, 216.40499877929688]","[0.469124972820282, 0.6255000233650208]",0.6034166574478149
1353,3,"[119.95500183105469, 284.7699890136719]","[0.7230625152587891, 0.9640833139419556]",0.6058630293065851
1490,0,"[473.82000732421875, 179.27499389648438]","[0.5710781216621399, 0.7614374756813049]",0.8378983876284432
1584,0,"[219.52000427246094, 337.135009765625]","[0.36487501859664917, 0.48649999499320984]",0.6558464094996452
2006,0,"[345.010009765625, 222.60000610351562]","[0.3987500071525574, 0.53166663646698]",0.7485305300125709
2006,1,"[27.594999313354492, 306.7200012207031]","[0.5037187337875366, 0.671625018119812]",0.7697545184808618
2153,2,"[206.47999572753906, 59.474998474121094]","[0.5575781464576721, 0.7434374690055847]",0.5798227280378342
2153,3,"[326.7950134277344, 368.9750061035156]","[0.6424374580383301, 0.8565833568572998]",0.6738380281364217
2153,1,"[402.2699890136719, 305.95001220703125]","[0.9200625419616699, 1.2267500162124634]",0.7649295014493606
2153,0,"[374.3550109863281, 359.4049987792969]","[1.1369374990463257, 1.5159167051315308]",0.8313626050949097
2261,0,"[332.32000732421875, 211.5050048828125]","[0.6083750128746033, 0.8111667037010193]",0.6419035991032919
2299,10,"[122.76499938964844, 116.63999938964844]","[0.343500018119812, 0.4580000042915344]",0.6770168817960299
2299,8,"[341.69500732421875, 164.7550048828125]","[0.3341718912124634, 0.445562481880188]",0.7327101986323085
2299,12,"[304.4700012207031, 172.32000732421875]","[0.507562518119812, 0.6767500042915344]",0.7494718730449677
2299,5,"[417.80999755859375, 242.3249969482422]","[0.4576406180858612, 0.6101875305175781]",0.7505375181927401
2299,9,"[86.1050033569336, 85.9000015258789]","[0.4963124990463257, 0.6617499589920044]",0.7691005965073904
2299,6,"[414.1600036621094, 173.23500061035156]","[0.427921861410141, 0.570562481880188]",0.7821965584388146
2299,2,"[236.68499755859375, 237.3699951171875]","[0.46931248903274536, 0.625749945640564]",0.7841058988124132
2299,3,"[293.385009765625, 239.13999938964844]","[0.44631248712539673, 0.5950833559036255]",0.7917481415412005
2299,4,"[358.8450012207031, 237.02499389648438]","[0.4406718909740448, 0.5875625014305115]",0.7947811028536629
2299,1,"[175.4199981689453, 243.9550018310547]","[0.5006718635559082, 0.6675624847412109]",0.7985905549105476
2299,7,"[364.5849914550781, 189.8249969482422]","[0.5444531440734863, 0.7259374856948853]",0.8160916952525868
2299,0,"[101.77999877929688, 245.02999877929688]","[0.5205000042915344, 0.6940000057220459]",0.8253332586849437
